contract_id,pregunta_id,pregunta,sum_pregunta_isAcusatoria,etiqueta
1280049,19441,"POR FAVOR, PODRÍAN AMPLIAR EL PLAZO DE ENTREGA DE LOS EQUIPOS, POR LO MENOS 90 DÍAS, CONSIDERANDOQUE SON PARA IMPORTACIÓN. GRACIAS.",0,0
1313047,39766,"Favor su aclaración, proporcionando los precios referenciales (unitario) por cada producto .",0,0
1789910,1239335,"Buenas tardes favor indicar que para garantizar la calidad de los aceites se tiene que presentarcertificados de calidad de la marca ofertada como son el certificado API para los aceites a diéselCJ-4/SN, y para gasolina API SP, INEN 2027, 2030, 2028?",0,0
1349559,136518,Señores buenas tardes les ruego por favor aclarar sobre le temporalidad de la experiencia decuantos años ? Y si es posible realizar una visita técnica de ser posible favor informar díafecha y persona responsable para visitar el lugar . Gracias,0,0
1774137,868400,"SE SOLICITA A LA CONTRATANTE la información necesaria, tales como planos, manuales deprocedimientos operacionales y de seguridad industrial, conjuntamente con toda la informacióndisponible relevante del servicio a realizar. YA QUE EN LOS TDR MENCIONAN QUE ENTREGARAN ALADJUDICADO. SE NECESITA QUE SE ENTREGUE A LOS OFERENTES PARA TENER BIEN ESPECIFICADO EL TRABAJO AREALIZAR. COMO QUIEREN QUE LOS OFERENTES ANALICEN EL TRABAJO SI NO FACILITAN LOS PLANOS?",0,0
884103,1462240,"SRS. Tomando en cuenta que la oferta que enviamos es desde la ciudad de Quito, no nos da tiempo parapoder mirar las aclaraciones del proceso y hacerlas constar en nuestra oferta ya que esta debe serenviada el dia de hoy para que llegue dentro del tiempo solicitado. Por lo que pedimos de sernecesario se nos permita convalidar cualquier aclaracion que se realice en este espacio de preguntasy respuestas.muchas gracias.",0,0
1165029,1368210,estamos en tramite para obtener la licneica ambiental haran valido si se presenta un papel que seesta en proceso de obtencion??,0,0
1717274,1477785,"BUENAS TARDES, GRACIAS POR LA INVITACION, POR FAVOR ACLARA ACERCA DEL PERSONAL TECNICO DONDE INDICANROS DE PROYECTOS, EL SUPERVISOR TIENE 7 AÑOS DE EXPERIENCIA EN UNA MISMA EMPRESA ES POSIBLEPRESENTAR 1 CERTIFICADO, AL IGUAL QUE EL PERSONAL DE GUARDIAS SE PUEDE PRESENTAR 1 O MASCERTIFICADOS QUE ACREDITEN LA EXPERIENCIA QUE SUMEN 2 AÑOS, 2. LOS CERTIFICADOS MEDICOS SE PUEDEPRESENTAR DE ENTIDADES DE SALUD PUBLICA MSP.",0,0
1263937,55771,"El casco que solicitan dicen que debe ser tipo N y luego en las especificaciones solicitan que debeser clase I, pero describen que debe tener espuma interior para golpes laterales y esto lo cumpleúnicamente un casco clase II, en ese sentido por favor confirmar exactamente que clase debe ser elcasco, considerando que mientras más aislamiento tiene como el caso con espuma, el peso aumentaráasí como su costo pues el precio de referencia no se ajusta a un casco clase II con barbiquejo.",0,0
1683131,489544,"Respecto a bachilleratos técnicos, según Acuerdo Ministerial 3245 del 27/ago/2004 además segúnRegistro Oficial N 97 del 10/dic/2019 en el Art 2.- Las Figuras Profesionales de la Oferta Formativaen Bachillerato Técnico también lo contenido en bases y normativas políticas del SITEAL yMinisterio Educación con actualización a 12/dic/2018 donde detalla Tipos de bachillerato técnicoy lo expedido en las REFORMAS AL ACUERDO No. MINEDUC-MINEDUC-2019-00052-A DE 31/jul/19 respecto aáreas técnicas y figuras profesionales, entre otras se concluye que de la FAMILIA PROFESIONALElectricidad y Electrónica se derivan carreras de Instalaciones, equipos y máquinas eléctricas, yElectrónica de consumo, que son iguales a las requeridas en TDRs sobre la titulación ?Bachillertécnico en Electricidad o Electrónica?. Por tanto, Se aceptará como personal técnico mínimo, enfunción Electricistas a personal con titulación en INSTALACIONES, EQUIPOS Y MÁQUINAS ELÉCTRICASy ELECTRONICA DE CONSUMO? SI/NO",0,0
1805195,1244641,"Con respecto al Artista Internacional Deleite Andino que se encuentra en los TDRs, se realizo elacercamiento confirmando que la agrupación ya tiene un contrato estabecido para esa fecha con unproveedor local, en este caso como podriamos nosotros como proveedores llegar aun acuerdo economicosi ya tienen un contrato firmado. Por favor aclarar este punto.",0,0
910815,1362112,"Para los Items 4: CONDUCTOR MULTIPOLAR 3X14 AWG: Se aclara que las normas aplicables al producto sonla ASTM B3, ASTM B174 y UL 1277.",0,0
1036795,214077,"Se puede oferta switch que tengan una Memoria SDRAM de 32 MB, ya que esto no influye en laoperación y funcionamiento del equipo.",0,0
918068,859686,"queremos dar el servicio pero, la ubicacion es algo lejos, se puede optar por otro mecanismo deservicio.. gracias",0,0
1020450,164729,"Buenas Tardes: 1 ) Es necesario entregar papel higiénico, jabón de tocador y dispensadores paraestos, de serel caso me pueden ayudar con cantidad mínima requerida? 2)Cuántas personas senecesitan pararealizar las labores y cuáles son los horarios? 3) Es posible realizar unareingeniería deprocesos en cuanto a los horarios establecidos en pliegos? 4) Habrá reajuste depresupuesto porsuba de salario mínimo, tal como establece la Ley orgánica Nacional deContratación Pública? 5)Es necesario realizar una visita técnica? En caso de ser, por favorteléfonos y nombres de lapersona que coordina. 6) Cuál es la cantidad de maquinaria y equipomínimo requerido o eso se lodeja a libre consideración del oferente? 7) Es necesario que lamaquinaria se quede en las instalaciones? 8) Necesitan que todo el personal trabaje las 8 horas, opodemos ofrecer otra alternativa para mejorar el servicio?",0,0
1762771,1108032,"Saludos, Los filtros solicitados para los equipos KOMATSU, al ser ORIGINALES también requieren loscertificados INEN/o ISO?",0,0
1418064,43045,Buenos días. De pronto podrían aclarar el lugar de entrega de los bienes solicitados,0,0
430456,312502,DERBERIA SER NACIONAL? SEAN TRANSPARENTES Y REPONDAN CLARO. LA PINTURA ES NACIONAL? O A NUESTRAELECCION?,0,0
1235185,1148568,RESPECTO A LOS CONTRATOS PODEMOS PRESENTAR UNO DEL VALOR TOTAL 17000 EN EXPERIENCIA GENERAL Y OTRODE10000 PARA LA EXPERIENCIA ESPECIFICA. O ES OBLIGATORIO PRESENTAR 5 CONTRATOS PARA CADAEXPERIENCIA.,0,0
1165876,1449851,"Porque no separan los reactivos clínicos de los químicos ? , con esto obtendrían mejores preciosal negociar directamente con los importadores de estos reactivos.",0,0
1732352,1241943,"Estimada entidad contratante validar si la alarma 24/7 que solicitan en el TDR cumple con lafunción de garantizar un abastecimiento continuo con la institución, sin que esta sea enviada pormensajes de texto, lo cual sugieren en la primera pregunta y estaría limitando la participación delos demas oferentes.",1,0
774460,644379,"La monja debe cumplir con NFPA 1971 Edicion 2007?, puede ser 100% Nomex?",0,0
892725,1461622,"Buenas tardes, podrian indicar las cantidades de equipos que requieren y segundo en la impresorapiden sistema de tinta contina instalado de fabrica pero el equipo que solicitan tiene tiene pero noes original ya que el que tienen el sistema original tiene una velocidad de 27 ppm en texto negro y15 ppm",0,0
234905,343771,Por favor si nos definen si el proceso es el 005-200- o el 010-2009 esto puede causar algunasdificultades,0,0
1417533,1581269,"En el ítem 4, aguja para fistula 16G, 15mm, podemos ofertar con medidas de 16G y 25 mm",0,0
842729,1386612,"señores de comision tecnica podemos ofrecer el gancho metalico galvanizado en caliente con undiametro de 5 mm, para soportar una tension de 60 Kf segun normas internacionales y la CNT loexige, pero con el diametro de 4,57 es imposible que pase la prueba de tension favor revisar estaexigencia.",0,0
1808831,406720,"Especificaciones Técnicas, solicitan Gantry con rotación de mayor o igual a 360 grados, por favoraclarar si al ofertar un gantry con rotación más – menos 185 grados desde la posición verticalda cumplimiento a lo solicitado por la entidad, ya que habría un total de 370 grados de rotación.",0,0
1215436,1010854,"Favor especificar en qué consiste el Servicio técnico en los diferentes puertos comerciales, envista que los equipos fueron instalados en el año 2011 y estarían fuera de garantía delfabricante.",0,0
1514478,1427506,28.El presupuesto de la oferta inicial contempla adicionalmente los mantenimientos preventivos delos 3 años posteriores a los dos de la garantía técnica y equipos?,0,0
694110,1166357,BUENAS TARDES POR FAVOR SERA QUE PUEDEN SUBIR LOS PLIEGOS EN WORD GRACIAS,0,0
886430,1098055,"Por favor indique si es posible visita técnica, ademas de la persona de contacto en el sitioSaludos",0,0
1775703,568588,"Según Artículo 23 de la Ley para la Optimización y Eficiencia de Trámites Administrativos,publicada en el Registro Oficial Suplemento Nro. 353 de fecha 23 de octubre de 2018, con la que seextiende la política de simplificación de trámites de la Función Ejecutiva a un ámbitonacional, establece: ?[?] Queda expresamente prohibido requerir copias de cédula, de certificadosde votación y en general copias de cualquier documento que contenga información que repose en lasbases de datos de las instituciones que conforman el Sistema Nacional de Registro de Datos Públicoso de bases develadas por entidades públicas?. Por lo que se solicita eliminar lo solicitado encuanto a cedulas y certificados de votación y certificados de antecedentes penales en base a lanormativa citada.",0,0
1511564,1418411,"Estimados Señores ELEPCO, favor aclarar las normas de fabricación de los cargadores de bateríasya que las detalladas en los pliegos corresponden a normas de construcción de baterías mas no decargadores/rectificadores.",0,0
10714,1001220,El formulario Nº 3 incluye un campo de PARAMETRO que información debe registrarse?,0,0
1704540,72774,EN CASO DE CONVALIDACIONES APARTE DE SUBIR AL PORTAL SE DEBE ENVIAR POR CORREO O POR FISICO? SEPUEDE ENVIAR LA OFERTA UNICAMENTE POR EL PORTAL SOCE? SI O NO? PORQUE? RESPONDA PORFAVOR SURESPUESTA ES IMPORTANTE.EN CASO DE NEGOCIACION PUEDE SER POR VIDEOLLAMADA O DE MANERA TELEMATICA,0,0
1636210,1056812,Favor su ayuda con el correo electronico al cual se puede hacer llegar la oferta de maneraelectronica. Gracias,0,0
1055820,146671,"Señores buenas tardes falta adjuntar las especificaciones técnicas, sin esto no se puede elaborarla oferta Gracias",0,0
1778331,646214,Por favor sírvase a ampliar el tiempo de entrega a 45 días más.,0,0
736949,351464,"MUY BUENAS NOCHES ME PODRIAN INDICAR SI ES NECESARIO UNA INSPECCION TECNICA , SI ES NECESARIO LAINSPECCION PORFAVOR INDICAR EL DIA LA HORA Y EL NOMBRE DE LA PERSONA A LA CUALDIRIGIRNOS GRACIAS",0,0
